hostname;macro;value_macro
AO340_TTMT_GW;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};192.168.0.26|192.168.0.30|10.90.47.254|10485760
AO340_TTMT_SR;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};192.168.0.18|192.168.0.22|10.90.46.254|10485760
AO342_TTMET_DD_01;{$WAN1}|{$LAN1}|{$BW};61.90.216.90|10.200.4.89|104857600
AO342_TTMET_DD_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.2|10.200.4.90|104857600
AO342_TTMET_HO_01;{$WAN1}|{$LAN1}|{$BW};61.91.78.222|10.200.4.58|10485760
AO342_TTMET_HO_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.3|10.200.4.59|10485760
AO347_TLC_HO_01;{$WAN1}|{$LAN1}|{$BW};210.86.149.166|10.1.18.242|10485760
AO347_TLC_HO_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.10|10.1.18.243|10485760
AO347_TLC_WCP_01;{$WAN1}|{$LAN1}|{$BW};210.86.149.174|10.21.141.7|10485760
AO347_TLC_WCP_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.11|10.21.141.8|10485760
AO361_SLT_01;{$WAN1}|{$LAN1}|{$BW};192.168.0.15|10.90.41.2|5242880
AO365_THAPT_01;{$WAN1}|{$LAN1}|{$BW};58.97.106.242|10.200.4.51|10485760
AO365_THAPT_02;{$WAN1}|{$LAN1}|{$BW};119.46.41.106|10.200.4.52|10485760
AO365_THAPT_AMT;{$WAN1}|{$LAN1}|{$BW};58.97.51.210|10.99.161.252|10485760
AO367_THAY_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};58.97.50.30|10.255.242.57|172.16.18.252|10485760
AO367_THAY_02;{$WAN1}|{$LAN1}|{$BW};119.46.176.172|172.16.18.253|10485760
AO373_TYOT_01;{$WAN1}|{$LAN1}|{$BW};203.172.100.180|10.90.51.254|10485760
AO375_GIFU_01;{$WAN1}|{$LAN1}|{$BW};58.97.47.51|192.168.240.251|26214400
AO390_BTT_AYA;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.146|223.27.233.114|10.90.74.254|10485760
AO390_BTT_CCO;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.138|192.168.0.44|10.90.75.254|10485760
AO390_BTT_CMI;{$WAN1}|{$LAN1}|{$BW};58.64.41.106|10.90.65.254|10485760
AO390_BTT_DC_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};27.254.175.123|10.255.246.81|10.1.120.252|52428800
AO390_BTT_DC_02;{$WAN1}|{$LAN1}|{$BW};223.27.244.179|10.1.120.253|52428800
AO390_BTT_HO_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};147.50.17.195|10.255.246.69|10.2.0.252|52428800
AO390_BTT_HO_02;{$WAN1}|{$LAN1}|{$BW};223.27.241.90|10.2.0.253|52428800
AO390_BTT_LCB;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.155|223.27.241.162|10.90.68.254|10485760
AO390_BTT_NDC;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};110.49.41.162|223.27.241.170|10.90.73.254|10485760
AO390_BTT_NMA;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.162|119.63.80.91|10.90.67.254|10485760
AO390_BTT_PLK;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.186|223.27.199.226|10.90.70.254|10485760
AO390_BTT_RBR;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.114|223.27.218.210|10.90.71.254|10485760
AO390_BTT_RYG;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};110.49.36.50|192.168.0.43|10.90.77.254|10485760
AO390_BTT_SKA;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};110.49.36.50|192.168.0.43|10.90.72.255|10485760
AO390_BTT_SKN;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.130|192.168.0.41|10.90.76.254|10485760
AO390_BTT_Spare;{$WAN1}|{$LAN1}|{$BW};5242880|5242880|5242880
AO390_BTT_SRI;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.178|115.31.150.34|10.90.66.254|10485760
AO390_BTT_UDN;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.182.170|223.27.208.162|10.90.69.254|10485760
